                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.974,                 4.7274,                 3.1583,                0.27155,                0.00469,                0.00293,                0.00111,                 3.0813,                 6.9505,                  3.548,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.8836,                 4.6531,                 3.1384,                0.20569,                 0.0242,                0.00825,                0.00297,                 2.9078,                 7.5169,                 3.2479,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.8454,                 4.7268,                 3.1412,                0.21975,                0.02814,                0.01084,                0.00398,                 2.8575,                 5.7833,                 3.1911,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.9083,                 4.7547,                 3.1247,                0.26057,                 0.0195,                0.00625,                0.00239,                 2.8532,                 7.5157,                 3.1876,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.8538,                 4.6938,                 3.0976,                 0.2538,                 0.0437,                0.01049,                 0.0031,                 2.8198,                 9.1721,                 3.1638,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.8429,                 4.6923,                 3.0671,                0.30748,                 0.0187,                0.01011,                0.00274,                 2.8008,                 5.8332,                 3.1016,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.7877,                 4.5287,                 3.0245,                0.21989,                0.02577,                0.00877,                0.00277,                 2.7757,                 5.0443,                 3.0815,               0.009604,               0.009604,               0.009604
                     42,                 2.7739,                 4.5817,                 3.0012,                0.24305,                 0.0268,                 0.0078,                 0.0023,                 2.7899,                 6.4407,                 3.0788,              0.0095941,              0.0095941,              0.0095941
                     43,                  2.757,                 4.6349,                 2.9947,                0.20014,                0.03119,                0.01886,                0.00564,                 2.7291,                 4.8713,                 3.0302,              0.0095842,              0.0095842,              0.0095842
                     44,                  2.776,                  4.523,                 3.0039,                 0.0023,                0.07453,                0.00845,                0.00225,                 2.7712,                 4.7178,                 3.0831,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.8073,                 4.5163,                 2.9673,                0.29944,                0.01938,                0.00699,                0.00258,                 2.6959,                 4.2764,                 2.9947,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.7553,                 4.5283,                 2.9655,                0.23161,                0.03197,                0.00897,                0.00282,                 2.7234,                 4.4633,                 3.0686,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.7043,                 4.4943,                 2.9667,                0.34339,                0.01988,                0.01518,                0.00469,                 2.6752,                 4.0503,                 2.9832,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.7737,                 4.4343,                 2.9129,                0.39648,                0.01518,                0.01147,                0.00321,                 2.6783,                 4.3405,                 2.9812,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.6996,                 4.3441,                 2.9009,                0.42559,                0.01937,                0.02148,                0.00591,                 2.6583,                 4.0733,                 2.9155,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.6851,                 4.5247,                 2.8906,                0.45815,                0.02115,                0.02208,                0.00619,                 2.6368,                 4.0699,                 2.9083,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.6702,                 4.3718,                 2.8669,                0.47499,                0.01918,                0.01312,                0.00474,                 2.6247,                 4.0065,                 2.9543,               0.009505,               0.009505,               0.009505
                     52,                 2.6854,                 4.4043,                 2.8315,                0.45013,                0.02879,                0.01727,                0.00537,                 2.6803,                 4.1128,                 2.9742,              0.0094951,              0.0094951,              0.0094951
                     53,                 2.6153,                 4.3065,                 2.8089,                0.48744,                 0.0324,                0.02149,                0.00773,                 2.5614,                  4.036,                 2.8835,              0.0094852,              0.0094852,              0.0094852
                     54,                 2.5975,                 4.2528,                 2.8045,                0.60611,                0.01826,                0.02701,                0.01088,                 2.5569,                 4.0293,                  2.873,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.6051,                 4.1836,                  2.796,                0.57909,                0.03093,                0.02399,                0.00962,                 2.6703,                 4.5258,                 2.9876,              0.0094654,              0.0094654,              0.0094654
                     56,                 2.5687,                 4.3206,                 2.7801,                0.56144,                0.03608,                0.03145,                0.01367,                 2.5622,                 3.9503,                  2.889,              0.0094555,              0.0094555,              0.0094555
                     57,                 2.5427,                 4.3516,                 2.7757,                0.52691,                0.03351,                0.03137,                0.01144,                 2.5619,                 3.9295,                 2.9066,              0.0094456,              0.0094456,              0.0094456
                     58,                  2.497,                 4.1083,                 2.7042,                0.49263,                0.02953,                0.03155,                0.01266,                 2.6798,                 4.0166,                 2.9479,              0.0094357,              0.0094357,              0.0094357
                     59,                 2.5665,                 4.3263,                 2.7264,                 0.4756,                0.02844,                0.02548,                0.01005,                 2.6704,                 4.0381,                 2.9345,              0.0094258,              0.0094258,              0.0094258
                     60,                 2.5079,                 4.1327,                 2.6911,                0.54448,                0.03349,                0.02907,                0.01096,                 2.5798,                 3.9336,                 2.8673,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.4635,                 4.1326,                 2.6432,                0.49001,                0.04901,                0.03326,                0.01383,                 2.4828,                 4.0526,                 2.7844,               0.009406,               0.009406,               0.009406
                     62,                 2.4811,                 4.2349,                 2.6813,                0.52068,                0.02505,                0.03067,                 0.0141,                 2.5525,                 3.9027,                 2.8468,              0.0093961,              0.0093961,              0.0093961
                     63,                 2.4343,                 4.1574,                 2.6525,                0.01845,                0.12931,                0.03571,                0.01625,                 2.7015,                  3.953,                 2.9878,              0.0093862,              0.0093862,              0.0093862
                     64,                  2.469,                 4.1218,                 2.6486,                0.35279,                0.06297,                0.03217,                0.01276,                 2.6061,                  4.092,                 2.8855,              0.0093763,              0.0093763,              0.0093763
                     65,                 2.5036,                 4.1479,                 2.6275,                 0.4355,                0.06264,                0.03437,                0.01287,                  2.473,                 4.3397,                 2.7543,              0.0093664,              0.0093664,              0.0093664
                     66,                 2.4663,                  4.074,                 2.6338,                0.60825,                0.04095,                0.04135,                0.01587,                 2.4523,                 4.3262,                 2.7266,              0.0093565,              0.0093565,              0.0093565
